state,puma_description,msa_description,state_puma,state_msa
ak,Anchorage Municipality (N) PUMA,Anchorage/AK,AK-00101,AK-11260
ak,Anchorage Municipality (S) PUMA,Anchorage/AK,AK-00102,AK-11260
ak,Matanuska-Susitna+Kenai Peninsula Boroughs PUMA,Anchorage/AK,AK-00200,AK-11260
ak,Greater Fairbanks/Greater Juneau/Ketchikan Gateway Borough+Road-Connected Alaska PUMA,Fairbanks/AK,AK-00300,AK-21820
ak,,,AK-00400,AK-11260
ak,,,AK-00400,AK-21820
al,Lauderdale/Colbert/Franklin+Marion (NE) Counties PUMA,Florence-Muscle Shoals/AL,AL-00100,AL-22520
al,Limestone+Madison (Outer) Counties-Huntsville City (Far W+SW) PUMA,Huntsville/AL,AL-00200,AL-26620
al,,,AL-00300,AL-26620
al,Huntsville (N)+Madison (E) Cities PUMA,Huntsville/AL,AL-00301,AL-26620
al,Huntsville City (Central+S) PUMA,Huntsville/AL,AL-00302,AL-26620
al,,,AL-00400,AL-11500
al,Marshall+Madison (SE) Counties-Huntsville City (Far SE) PUMA,Huntsville/AL,AL-00500,AL-26620
al,Morgan+Lawrence Counties-Decatur City PUMA,Decatur/AL,AL-00600,AL-19460
al,,,AL-00700,AL-22520
al,,,AL-00700,AL-13820
al,,,AL-00700,AL-46220
al,,,AL-00700,AL-26620
al,St Clair+Blount Counties PUMA,Birmingham-Hoover/AL,AL-00800,AL-13820
al,Etowah County PUMA,Gadsden/AL,AL-00900,AL-23460
al,,,AL-00901,AL-13820
al,,,AL-00902,AL-13820
al,,,AL-00903,AL-13820
al,,,AL-00904,AL-13820
al,,,AL-00905,AL-13820
al,,,AL-01000,AL-13820
al,,,AL-01000,AL-23460
al,,,AL-01000,AL-11500
al,,,AL-01000,AL-46220
al,Calhoun County PUMA,Anniston-Oxford-Jacksonville/AL,AL-01100,AL-11500
al,Shelby County PUMA,Birmingham-Hoover/AL,AL-01200,AL-13820
al,,,AL-01300,AL-13820
al,Birmingham City (W) PUMA,Birmingham-Hoover/AL,AL-01301,AL-13820
al,Birmingham City (E) PUMA,Birmingham-Hoover/AL,AL-01302,AL-13820
al,Jefferson County (SE)-Hoover (N)/Vestavia Hills+Homewood Cities PUMA,Birmingham-Hoover/AL,AL-01303,AL-13820
al,Jefferson County (NE)-Trussville/Center Point+Gardendale Cities PUMA,Birmingham-Hoover/AL,AL-01304,AL-13820
al,Jefferson County (W)-Bessemer/Hueytown+Pleasant Grove Cities PUMA,Birmingham-Hoover/AL,AL-01305,AL-13820
al,Walker/Marion (S+W)/Fayette+Lamar Counties PUMA,Birmingham-Hoover/AL,AL-01400,AL-13820
al,Tuscaloosa (Outer)+Pickens Counties-Northport City (N+W) PUMA,Tuscaloosa/AL,AL-01500,AL-46220
al,Tuscaloosa+Northport (SE) Cities PUMA,Tuscaloosa/AL,AL-01600,AL-46220
al,Dallas/Bibb/Marengo/Hale/Sumter/Perry+Greene Counties PUMA,Birmingham-Hoover/AL,AL-01700,AL-13820
al,Dallas/Bibb/Marengo/Hale/Sumter/Perry+Greene Counties PUMA,Tuscaloosa/AL,AL-01700,AL-46220
al,Chilton/Tallapoosa/Chambers+Coosa Counties PUMA,Birmingham-Hoover/AL,AL-01800,AL-13820
al,Lee County-Auburn City PUMA,Auburn-Opelika/AL,AL-01900,AL-12220
al,Montgomery City+Pike Road Town (N) PUMA,Montgomery/AL,AL-02000,AL-33860
al,Elmore/Autauga/Montgomery (Outer)+Lowndes Counties PUMA,Montgomery/AL,AL-02100,AL-33860
al,,,AL-02200,AL-33660
al,,,AL-02200,AL-46220
al,,,AL-02200,AL-13820
al,,,AL-02200,AL-33860
al,,,AL-02300,AL-33660
al,,,AL-02300,AL-13820
al,,,AL-02300,AL-33860
al,,,AL-02300,AL-20020
al,Russell/Pike/Barbour/Macon+Bullock Counties PUMA,Columbus/GA-AL,AL-02400,AL-17980
al,Houston/Dale/Geneva+Henry Counties-Dothan City PUMA,Dothan/AL,AL-02500,AL-20020
al,Baldwin County PUMA,Daphne-Fairhope-Foley/AL,AL-02600,AL-19300
al,Mobile City (E) PUMA,Mobile/AL,AL-02701,AL-33660
al,Mobile City (W) PUMA,Mobile/AL,AL-02702,AL-33660
al,Mobile County (Outer)-Prichard City/Tillmans Corner+Saraland City PUMA,Mobile/AL,AL-02703,AL-33660
ar,Benton County PUMA,Fayetteville-Springdale-Rogers/AR-MO,AR-00100,AR-22220
ar,Washington County PUMA,Fayetteville-Springdale-Rogers/AR-MO,AR-00200,AR-22220
ar,Baxter/Boone/Carroll/Marion/Madison/Newton+Searcy Counties PUMA,Fayetteville-Springdale-Rogers/AR-MO,AR-00300,AR-22220
ar,,,AR-00400,AR-22220
ar,,,AR-00400,AR-27860
ar,,,AR-00400,AR-30780
ar,Craighead (W)/Greene/Randolph/Lawrence+Clay Counties PUMA,Jonesboro/AR,AR-00500,AR-27860
ar,Crittenden/Mississippi+Craighead (E) Counties PUMA,Jonesboro/AR,AR-00600,AR-27860
ar,Crittenden/Mississippi+Craighead (E) Counties PUMA,Memphis/TN-MS-AR,AR-00600,AR-32820
ar,St Francis/Poinsett/Phillips/Cross/Lee+Monroe Counties PUMA,Jonesboro/AR,AR-00700,AR-27860
ar,,,AR-00800,AR-27860
ar,,,AR-00800,AR-30780
ar,,,AR-00800,AR-38220
ar,Pulaski County (Outer)-N Little Rock/Sherwood+Jacksonville Cities PUMA,Little Rock-N Little Rock-Conway/AR,AR-00900,AR-30780
ar,Pulaski County (Central)-Little Rock City PUMA,Little Rock-N Little Rock-Conway/AR,AR-01000,AR-30780
ar,Faulkner+Lonoke Counties PUMA,Little Rock-N Little Rock-Conway/AR,AR-01100,AR-30780
ar,Saline County PUMA,Little Rock-N Little Rock-Conway/AR,AR-01200,AR-30780
ar,Pope/Johnson/Yell/Conway+Perry Counties PUMA,Little Rock-N Little Rock-Conway/AR,AR-01300,AR-30780
ar,Sebastian+Crawford Counties PUMA,Fort Smith/AR-OK,AR-01400,AR-22900
ar,,,AR-01500,AR-30780
ar,,,AR-01500,AR-26300
ar,,,AR-01500,AR-22900
ar,Garland/Hot Spring/Clark+Montgomery Counties PUMA,Hot Springs/AR,AR-01600,AR-26300
ar,Jefferson/Grant+Arkansas (NW) Counties PUMA,Little Rock-N Little Rock-Conway/AR,AR-01700,AR-30780
ar,Jefferson/Grant+Arkansas (NW) Counties PUMA,Pine Bluff/AR,AR-01700,AR-38220
ar,SE Arkansas PUMA,Pine Bluff/AR,AR-01800,AR-38220
ar,,,AR-01900,AR-26300
ar,,,AR-01900,AR-45500
ar,,,AR-01900,AR-38220
ar,SW Arkansas PUMA,Texarkana/TX-AR,AR-02000,AR-45500
az,Maricopa County-Gilbert (S)+Queen Creek Towns PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00100,AZ-38060
az,Maricopa County-Mesa City (E) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00101,AZ-38060
